Case,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Id,Withdrawal_reason__c,Withdrawal_code__c,Index
Perfect Match,003f400000KvxdQAAR,001f400000LvhyxAAB,2019-01-28,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3911,003f400000KvxdQAAR,001f400000LvhyxAAB,2019-01-28,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000G1i6cAAB,,,2839
Attending but DB had T/W,003f400000KvxdQAAR,001f400000LvhPNAAZ,2017-09-25,,2016-04-13,Attending,Bachelor's,NSC,,,3910,003f400000KvxdQAAR,001f400000LvhPNAAZ,2017-09-25,2018-06-15,2018-11-28,Withdrew,Bachelor's,Coordinator Verified,,,a02f4000006n6jSAAQ,,,182
Perfect Match,003f400000KvxUtAAJ,001f400000LvhyxAAB,2018-06-18,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1660,003f400000KvxUtAAJ,001f400000LvhyxAAB,2018-06-18,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BmFVkAAN,,,2669
Perfect Match,003f400000KvxUtAAJ,001f400000LvhQWAAZ,2016-08-24,,2016-04-13,Attending,Bachelor's,NSC,,,1658,003f400000KvxUtAAJ,001f400000LvhQWAAZ,2016-08-24,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n6tbAAA,,,577
Attending but DB had T/W,003f400000KvxUtAAJ,001f400000LvhyxAAB,2017-06-19,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1659,003f400000KvxUtAAJ,001f400000LvhyxAAB,2017-06-19,2017-07-27,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6taAAA,,,576
Perfect Match,003f400000KvxHrAAJ,001f400000Lvi0MAAR,2013-08-19,2015-05-20,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,3451,003f400000KvxHrAAJ,001f400000Lvi0MAAR,2013-08-19,2015-05-20,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6m0AAA,,,289
Perfect Match,003f400000KvxHrAAJ,001f400000LvhyhAAB,2019-06-10,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3450,003f400000KvxHrAAJ,001f400000LvhyhAAB,2019-06-10,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KZCI3AAP,,,2972
Perfect Match,003f400000KvxHrAAJ,001f400000LvhyhAAB,2017-01-17,2018-10-20,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,3449,003f400000KvxHrAAJ,001f400000LvhyhAAB,2017-01-17,2018-10-20,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6m3AAA,,,292
Perfect Match,003f400000KvxHrAAJ,001f400000LvhQWAAZ,2018-06-04,,2016-04-13,Attending,Bachelor's,NSC,,,3448,003f400000KvxHrAAJ,001f400000LvhQWAAZ,2018-06-04,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000BlhyzAAB,,,2015
Perfect Match,003f400000KvxHrAAJ,001f400000LvhQWAAZ,2012-08-27,2013-05-24,2016-04-13,Transferred out,Bachelor's,NSC,,,3446,003f400000KvxHrAAJ,001f400000LvhQWAAZ,2012-08-27,2013-05-24,2016-04-13,Transferred out,Bachelor's,NSC,,,a02f4000006n6m1AAA,,,290
Attending but DB had T/W,003f400000KvxHrAAJ,001f400000LvhQWAAZ,2014-06-09,,2016-04-13,Attending,Bachelor's,NSC,,,3447,003f400000KvxHrAAJ,001f400000LvhQWAAZ,2014-06-09,2017-05-16,2018-11-28,Transferred out,Bachelor's,Coordinator Verified,,,a02f4000006n6m2AAA,,,291
Perfect Match,003f400000KvxJwAAJ,001f400000LvhyZAAR,2016-08-17,2019-05-24,2016-04-13,Graduated,Associate's,NSC,ASSOCIATE IN ARTS-TRANSFER,KINESIOLOGY: CSU,3120,003f400000KvxJwAAJ,001f400000LvhyZAAR,2016-08-17,2019-05-24,2016-04-13,Graduated,Associate's or Certificate (TBD),NSC,ASSOCIATE IN ARTS-TRANSFER,KINESIOLOGY: CSU,a02f4000006n6kEAAQ,,,223
Perfect Match,003f400000KvxJwAAJ,001f400000LvhPJAAZ,2014-01-21,2015-05-22,2016-04-13,Withdrew,Bachelor's,NSC,,,3119,003f400000KvxJwAAJ,001f400000LvhPJAAZ,2014-01-21,2015-05-22,2016-04-13,Withdrew,Bachelor's,NSC,,,a02f4000006n6kFAAQ,,,224
Perfect Match,003f40000169hv4AAA,001f400000LvhyrAAB,2019-09-23,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,379,003f40000169hv4AAA,001f400000LvhyrAAB,2019-09-23,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KbGjjAAF,,,3809
Perfect Match,003f400000TlTQEAA3,001f400000LvhP9AAJ,2018-08-22,,2016-04-13,Attending,Bachelor's,NSC,,,751,003f400000TlTQEAA3,001f400000LvhP9AAJ,2018-08-22,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli5TAAR,,,2400
Perfect Match,003f400000KvxHuAAJ,001f400000Lvhz1AAB,2019-01-07,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3434,003f400000KvxHuAAJ,001f400000Lvhz1AAB,2019-01-07,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000G1i7HAAR,,,2880
Perfect Match,003f400000KvxHuAAJ,001f400000LvhyZAAR,2012-08-20,2014-08-09,2016-04-13,Withdrew,Associate's or Certificate (TBD),NSC,,,3432,003f400000KvxHuAAJ,001f400000LvhyZAAR,2012-08-20,2014-08-09,2016-04-13,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n797AAA,,,1216
Attending but DB had T/W,003f400000KvxHuAAJ,001f400000Lvhz1AAB,2017-01-09,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3433,003f400000KvxHuAAJ,001f400000Lvhz1AAB,2017-01-09,2018-06-29,2018-11-28,Withdrew,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n796AAA,,,1215
Perfect Match,003f400000TlTSyAAN,001f400000LvhyrAAB,2018-09-24,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,613,003f400000TlTSyAAN,001f400000LvhyrAAB,2018-09-24,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KbGgWAAV,,,3610
Perfect Match,003f400000TlTLSAA3,001f400000Lvi0MAAR,2019-06-10,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,999,003f400000TlTLSAA3,001f400000Lvi0MAAR,2019-06-10,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KZCIjAAP,,,3012
Perfect Match,003f400000TlTLSAA3,001f400000LvhPgAAJ,2018-08-27,,2016-04-13,Attending,Bachelor's,NSC,,,998,003f400000TlTLSAA3,001f400000LvhPgAAJ,2018-08-27,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli3FAAR,,,2266
Perfect Match,003f400000KvxfBAAR,001f400000LvhPNAAZ,2018-09-24,,2016-04-13,Attending,Bachelor's,NSC,,,3774,003f400000KvxfBAAR,001f400000LvhPNAAZ,2018-09-24,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Blhx1AAB,,,1900
Perfect Match,003f40000169hrhAAA,001f400000LvhPKAAZ,2019-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,497,003f40000169hrhAAA,001f400000LvhPKAAZ,2019-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGiDAAV,,,3715
Perfect Match,003f400000TlTLiAAN,001f400000Lvi0MAAR,2019-08-14,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1023,003f400000TlTLiAAN,001f400000Lvi0MAAR,2019-08-14,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KbGa0AAF,,,3206
Perfect Match,003f400000TlTLiAAN,001f400000LvhisAAB,2018-09-24,,2016-04-13,Attending,Bachelor's,NSC,,,1021,003f400000TlTLiAAN,001f400000LvhisAAB,2018-09-24,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000BlhzwAAB,,,2064
(NSC only) New attending enrollment,003f400000TlTLiAAN,001f400000LvhisAAB,2020-04-06,,2016-04-13,Attending,Bachelor's,NSC,,,1022
Perfect Match,003f40000169hzLAAQ,001f400000LvlNKAAZ,2019-08-28,,2016-04-13,Attending,Bachelor's,NSC,,,159,003f40000169hzLAAQ,001f400000LvlNKAAZ,2019-08-28,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGgsAAF,,,3632
